edge_id,global_i,global_j,block_i,block_j,index_i,index_j,cell_i,cell_j,d_Cplus,d_Q,original_obstruction,split_i,split_j,retained_after_split,post_split_obstruction
166,733.0,895.0,2.0,2.0,60.0,222.0,3.0,3.0,0.30856290459632874,0.5500123500823976,False,0,0,True,False
167,733.0,896.0,2.0,2.0,60.0,223.0,3.0,3.0,0.2859312295913696,0.5437829494476318,False,0,0,True,False
168,733.0,897.0,2.0,2.0,60.0,224.0,3.0,3.0,0.27179384231567383,0.5476871132850647,False,0,0,True,False
169,733.0,898.0,2.0,2.0,60.0,225.0,3.0,3.0,0.26419445872306824,0.5625188350677489,False,0,0,True,False
170,733.0,899.0,2.0,2.0,60.0,226.0,3.0,3.0,0.2624607980251312,0.5879456400871277,False,0,0,True,False
171,733.0,900.0,2.0,2.0,60.0,227.0,3.0,3.0,0.26740676164627075,0.6222103834152222,False,0,0,True,False
172,733.0,901.0,2.0,2.0,60.0,228.0,3.0,3.0,0.2795503437519073,0.6626347899436951,False,0,0,True,False
173,733.0,902.0,2.0,2.0,60.0,229.0,3.0,3.0,0.29766955971717834,0.7064900398254395,False,0,0,True,False
174,733.0,903.0,2.0,2.0,60.0,230.0,3.0,3.0,0.3192550837993622,0.7515110373497009,False,0,0,True,False
175,733.0,904.0,2.0,2.0,60.0,231.0,3.0,3.0,0.3421542942523956,0.7956673502922058,False,0,0,True,False
176,734.0,895.0,2.0,2.0,61.0,222.0,3.0,3.0,0.3246743083000183,0.541898787021637,False,0,0,True,False
177,734.0,896.0,2.0,2.0,61.0,223.0,3.0,3.0,0.2930905818939209,0.5267021059989929,False,0,0,True,False
178,734.0,897.0,2.0,2.0,61.0,224.0,3.0,3.0,0.27076300978660583,0.5201562643051147,False,0,0,True,False
179,734.0,898.0,2.0,2.0,61.0,225.0,3.0,3.0,0.25705793499946594,0.5246623754501343,False,0,0,True,False
180,734.0,899.0,2.0,2.0,61.0,226.0,3.0,3.0,0.2514366805553436,0.5414777994155884,False,0,0,True,False
181,734.0,900.0,2.0,2.0,61.0,227.0,3.0,3.0,0.2540866136550904,0.5697855949401855,False,0,0,True,False
182,734.0,901.0,2.0,2.0,61.0,228.0,3.0,3.0,0.26480937004089355,0.606996476650238,False,0,0,True,False
183,734.0,902.0,2.0,2.0,61.0,229.0,3.0,3.0,0.2819400727748871,0.6499221324920654,False,0,0,True,False
184,734.0,903.0,2.0,2.0,61.0,230.0,3.0,3.0,0.30283322930336,0.695710062980652,False,0,0,True,False
185,734.0,904.0,2.0,2.0,61.0,231.0,3.0,3.0,0.32539069652557373,0.7418537735939027,False,0,0,True,False
186,734.0,905.0,2.0,2.0,61.0,232.0,3.0,3.0,0.3491489887237549,0.7856228351593018,False,0,0,True,False
187,735.0,895.0,2.0,2.0,62.0,222.0,3.0,3.0,0.35125184059143066,0.5435159802436829,False,0,0,True,False
188,735.0,896.0,2.0,2.0,62.0,223.0,3.0,3.0,0.3134700357913971,0.5211595892906189,False,0,0,True,False
189,735.0,897.0,2.0,2.0,62.0,224.0,3.0,3.0,0.2842426896095276,0.5045601725578308,False,0,0,True,False
190,735.0,898.0,2.0,2.0,62.0,225.0,3.0,3.0,0.2643275260925293,0.49744948744773854,False,0,0,True,False
191,735.0,899.0,2.0,2.0,62.0,226.0,3.0,3.0,0.25374308228492737,0.5029670596122742,False,0,0,True,False
192,735.0,900.0,2.0,2.0,62.0,227.0,3.0,3.0,0.25238171219825745,0.5219674110412598,False,0,0,True,False
193,735.0,901.0,2.0,2.0,62.0,228.0,3.0,3.0,0.25950872898101807,0.5526431798934937,False,0,0,True,False
194,735.0,902.0,2.0,2.0,62.0,229.0,3.0,3.0,0.27316948771476746,0.5917080640792847,False,0,0,True,False
195,735.0,903.0,2.0,2.0,62.0,230.0,3.0,3.0,0.29072535037994385,0.635798454284668,False,0,0,True,False
196,735.0,904.0,2.0,2.0,62.0,231.0,3.0,3.0,0.3102307319641113,0.6818766593933105,False,0,0,True,False
197,735.0,905.0,2.0,2.0,62.0,232.0,3.0,3.0,0.3314327001571655,0.7268181443214417,False,0,0,True,False
198,735.0,906.0,2.0,2.0,62.0,233.0,3.0,3.0,0.3555411696434021,0.7671256661415101,False,0,0,True,False
199,736.0,896.0,2.0,2.0,63.0,223.0,3.0,3.0,0.3428790271282196,0.5283004641532898,False,0,0,True,False
200,736.0,897.0,2.0,2.0,63.0,224.0,3.0,3.0,0.30907222628593445,0.5037094354629517,False,0,0,True,False
201,736.0,898.0,2.0,2.0,63.0,225.0,3.0,3.0,0.28387919068336487,0.4854556322097778,False,0,0,True,False
202,736.0,899.0,2.0,2.0,63.0,226.0,3.0,3.0,0.2679350674152374,0.47817316651344294,False,0,0,True,False
203,736.0,900.0,2.0,2.0,63.0,227.0,3.0,3.0,0.2611609697341919,0.4847586452960968,False,0,0,True,False
204,736.0,901.0,2.0,2.0,63.0,228.0,3.0,3.0,0.2626314163208008,0.5050817728042603,False,0,0,True,False
205,736.0,902.0,2.0,2.0,63.0,229.0,3.0,3.0,0.2703721225261688,0.5365627408027649,False,0,0,True,False
206,736.0,903.0,2.0,2.0,63.0,230.0,3.0,3.0,0.2819225490093231,0.575739860534668,False,0,0,True,False
207,736.0,904.0,2.0,2.0,63.0,231.0,3.0,3.0,0.2955778539180756,0.6191328167915344,False,0,0,True,False
208,736.0,905.0,2.0,2.0,63.0,232.0,3.0,3.0,0.3113670349121094,0.6631428003311157,False,0,0,True,False
209,736.0,906.0,2.0,2.0,63.0,233.0,3.0,3.0,0.3308702409267425,0.7039148807525635,False,0,0,True,False
210,736.0,907.0,2.0,2.0,63.0,234.0,3.0,3.0,0.3558399975299835,0.7377656698226928,False,0,0,True,False
211,737.0,897.0,2.0,2.0,64.0,224.0,3.0,3.0,0.3423295021057129,0.5192669034004211,False,0,0,True,False
212,737.0,898.0,2.0,2.0,64.0,225.0,3.0,3.0,0.31352999806404114,0.4922551214694977,False,0,0,True,False
213,737.0,899.0,2.0,2.0,64.0,226.0,3.0,3.0,0.29276290535926813,0.4727547466754913,False,0,0,True,False
214,737.0,900.0,2.0,2.0,64.0,227.0,3.0,3.0,0.28009140491485596,0.4651846587657928,False,0,0,True,False
